,index,五峰鄉,尖石前山,尖石後山
0,V,12 (5.31%) (1.51%),4 (1.72%) (0.51%),14 (4.17%) (1.77%)
1,"AUX,V",18 (7.97%) (2.27%),19 (8.16%) (2.39%),26 (7.74%) (3.28%)
2,"AUX1,AUX2,V",4 (1.77%) (0.51%),5 (2.15%) (0.63%),2 (0.6%) (0.26%)
3,VV,7 (3.1%) (0.89%),4 (1.72%) (0.51%),13 (3.87%) (1.64%)
4,"AUX,VV",3 (1.33%) (0.38%),4 (1.72%) (0.51%),12 (3.58%) (1.51%)
5,VE,10 (4.43%) (1.26%),7 (3.01%) (0.89%),10 (2.98%) (1.26%)
6,"AUX,VE",23 (10.18%) (2.9%),34 (14.6%) (4.28%),28 (8.34%) (3.53%)
7,"AUX1,AUX2,VE",3 (1.33%) (0.38%),3 (1.29%) (0.38%),6 (1.79%) (0.76%)
8,VVE,8 (3.54%) (1.01%),1 (0.43%) (0.13%),7 (2.09%) (0.89%)
9,"AUX,VVE",2 (0.89%) (0.26%),7 (3.01%) (0.89%),17 (5.06%) (2.14%)
10,VES,4 (1.77%) (0.51%),3 (1.29%) (0.38%),2 (0.6%) (0.26%)
11,"AUX,VES",7 (3.1%) (0.89%),6 (2.58%) (0.76%),9 (2.68%) (1.14%)
12,VS,28 (12.39%) (3.53%),17 (7.3%) (2.14%),25 (7.45%) (3.15%)
13,"AUX,VS",19 (8.41%) (2.39%),19 (8.16%) (2.39%),24 (7.15%) (3.02%)
14,"AUX1AUX2,VS",1 (0.45%) (0.13%),5 (2.15%) (0.63%),7 (2.09%) (0.89%)
15,VSE,5 (2.22%) (0.63%),1 (0.43%) (0.13%),2 (0.6%) (0.26%)
16,VVS,6 (2.66%) (0.76%),9 (3.87%) (1.14%),11 (3.28%) (1.39%)
17,"AUX,VVS",5 (2.22%) (0.63%),2 (0.86%) (0.26%),3 (0.9%) (0.38%)
18,VP,9 (3.99%) (1.14%),19 (8.16%) (2.39%),10 (2.98%) (1.26%)
19,VPc,1 (0.45%) (0.13%),3 (1.29%) (0.38%),4 (1.2%) (0.51%)
20,"AUX,VPc",3 (1.33%) (0.38%),4 (1.72%) (0.51%),9 (2.68%) (1.14%)
21,VVP,1 (0.45%) (0.13%),0 (0.0%) (0.0%),2 (0.6%) (0.26%)
22,"AUX,VVP",0 (0.0%) (0.0%),1 (0.43%) (0.13%),0 (0.0%) (0.0%)
23,VAP,4 (1.77%) (0.51%),5 (2.15%) (0.63%),7 (2.09%) (0.89%)
24,VAPc,0 (0.0%) (0.0%),2 (0.86%) (0.26%),7 (2.09%) (0.89%)
25,"AUX,VAP",0 (0.0%) (0.0%),2 (0.86%) (0.26%),1 (0.3%) (0.13%)
26,VPA,1 (0.45%) (0.13%),2 (0.86%) (0.26%),1 (0.3%) (0.13%)
27,"AUX1,AUX2,VPA",0 (0.0%) (0.0%),1 (0.43%) (0.13%),0 (0.0%) (0.0%)
28,"AUX,PAV",3 (1.33%) (0.38%),1 (0.43%) (0.13%),2 (0.6%) (0.26%)
29,"AUX,PVA",2 (0.89%) (0.26%),1 (0.43%) (0.13%),1 (0.3%) (0.13%)
30,"AUX,AV",8 (3.54%) (1.01%),1 (0.43%) (0.13%),9 (2.68%) (1.14%)
31,"AUX,AVE",1 (0.45%) (0.13%),2 (0.86%) (0.26%),2 (0.6%) (0.26%)
32,AVP,0 (0.0%) (0.0%),0 (0.0%) (0.0%),1 (0.3%) (0.13%)
33,"AUX,AVP",8 (3.54%) (1.01%),14 (6.01%) (1.77%),23 (6.85%) (2.9%)
34,"NEG,V",2 (0.89%) (0.26%),3 (1.29%) (0.38%),6 (1.79%) (0.76%)
35,"NEG,VV",0 (0.0%) (0.0%),1 (0.43%) (0.13%),3 (0.9%) (0.38%)
36,"NEG,VE",3 (1.33%) (0.38%),1 (0.43%) (0.13%),1 (0.3%) (0.13%)
37,"NEG,VVE",0 (0.0%) (0.0%),1 (0.43%) (0.13%),2 (0.6%) (0.26%)
38,"NEG,VAP",0 (0.0%) (0.0%),1 (0.43%) (0.13%),1 (0.3%) (0.13%)
39,"NEG,VP",2 (0.89%) (0.26%),2 (0.86%) (0.26%),2 (0.6%) (0.26%)
40,"NEG,VPc",1 (0.45%) (0.13%),3 (1.29%) (0.38%),6 (1.79%) (0.76%)
41,"NEG,AV",4 (1.77%) (0.51%),6 (2.58%) (0.76%),7 (2.09%) (0.89%)
42,"NGA,AVV",2 (0.89%) (0.26%),2 (0.86%) (0.26%),2 (0.6%) (0.26%)
43,"NEG,AVP",2 (0.89%) (0.26%),2 (0.86%) (0.26%),7 (2.09%) (0.89%)
44,SV,2 (0.89%) (0.26%),1 (0.43%) (0.13%),0 (0.0%) (0.0%)
45,SVE,2 (0.89%) (0.26%),2 (0.86%) (0.26%),2 (0.6%) (0.26%)
