,index,國中,大專,高中
0,V(不及動詞),48 (20.97%) (6.04%),48 (16.79%) (6.04%),51 (18.22%) (6.42%)
1,VE(不及動詞+延伸受事),58 (25.33%) (7.3%),50 (17.49%) (6.29%),58 (20.72%) (7.3%)
2,VES(不及動+延伸受事+主詞),10 (4.37%) (1.26%),7 (2.45%) (0.89%),14 (5.0%) (1.77%)
3,VS(不及動詞+主詞),60 (26.21%) (7.55%),69 (24.13%) (8.68%),60 (21.43%) (7.55%)
4,VP(及物動詞+受事者),20 (8.74%) (2.52%),49 (17.14%) (6.17%),40 (14.29%) (5.04%)
5,AV(主詞+及物動),20 (8.74%) (2.52%),20 (7.0%) (2.52%),29 (10.36%) (3.65%)
6,NEG V(否定+不及物動詞),3 (1.32%) (0.38%),9 (3.15%) (1.14%),11 (3.93%) (1.39%)
7,NEG VP(否定+及物動+受詞),1 (0.44%) (0.13%),8 (2.8%) (1.01%),9 (3.22%) (1.14%)
8,NEG AV(否定+主+及物動詞),8 (3.5%) (1.01%),20 (7.0%) (2.52%),6 (2.15%) (0.76%)
9,SV(主詞+不及物動詞),1 (0.44%) (0.13%),6 (2.1%) (0.76%),2 (0.72%) (0.26%)
