,index,30~39,40~49,50~59,60~69,70~79
0,V(不及動詞),1 (7.7%) (0.13%),26 (16.36%) (3.28%),57 (17.87%) (7.17%),41 (22.78%) (5.16%),22 (17.75%) (2.77%)
1,VE(不及動詞+延伸受事),3 (23.08%) (0.38%),34 (21.39%) (4.28%),57 (17.87%) (7.17%),45 (25.0%) (5.67%),27 (21.78%) (3.4%)
2,VES(不及動+延伸受事+主詞),1 (7.7%) (0.13%),6 (3.78%) (0.76%),12 (3.77%) (1.51%),3 (1.67%) (0.38%),9 (7.26%) (1.14%)
3,VS(不及動詞+主詞),4 (30.77%) (0.51%),33 (20.76%) (4.16%),71 (22.26%) (8.94%),46 (25.56%) (5.79%),35 (28.23%) (4.41%)
4,VP(及物動詞+受事者),2 (15.39%) (0.26%),20 (12.58%) (2.52%),55 (17.25%) (6.92%),18 (10.0%) (2.27%),14 (11.3%) (1.77%)
5,AV(主詞+及物動),0 (0.0%) (0.0%),10 (6.29%) (1.26%),35 (10.98%) (4.41%),14 (7.78%) (1.77%),10 (8.07%) (1.26%)
6,NEG V(否定+不及物動詞),0 (0.0%) (0.0%),9 (5.67%) (1.14%),10 (3.14%) (1.26%),3 (1.67%) (0.38%),1 (0.81%) (0.13%)
7,NEG VP(否定+及物動+受詞),1 (7.7%) (0.13%),8 (5.04%) (1.01%),7 (2.2%) (0.89%),1 (0.56%) (0.13%),1 (0.81%) (0.13%)
8,NEG AV(否定+主+及物動詞),0 (0.0%) (0.0%),11 (6.92%) (1.39%),13 (4.08%) (1.64%),5 (2.78%) (0.63%),5 (4.04%) (0.63%)
9,SV(主詞+不及物動詞),1 (7.7%) (0.13%),2 (1.26%) (0.26%),2 (0.63%) (0.26%),4 (2.23%) (0.51%),0 (0.0%) (0.0%)
