區域,學歷,從業,年齡區間,V,"AUX,V","AUX1,AUX2,V",VV,"AUX,VV",VE,"AUX,VE","AUX1,AUX2,VE",VVE,"AUX,VVE",VES,"AUX,VES",VS,"AUX,VS","AUX1AUX2,VS",VSE,VVS,"AUX,VVS",VP,VPc,"AUX,VPc",VVP,"AUX,VVP",VAP,VAPc,"AUX,VAP",VPA,"AUX1,AUX2,VPA","AUX,PAV","AUX,PVA","AUX,AV","AUX,AVE",AVP,"AUX,AVP","NEG,V","NEG,VV","NEG,VE","NEG,VVE","NEG,VAP","NEG,VP","NEG,VPc","NEG,AV","NGA,AVV","NEG,AVP",SV,SVE
五峰鄉,國中,工,60~69,1,2,2,0,0,1,4,1,0,0,0,1,1,3,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五峰鄉,國中,農,60~69,1,4,0,0,0,0,3,0,1,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
五峰鄉,國中,農,70~79,0,0,1,1,0,0,0,1,1,0,3,3,3,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0
五峰鄉,大專,公教,50~59,1,1,0,0,1,1,3,0,3,0,0,2,4,4,0,0,3,1,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,2,1,0,1,0,0,1,1,1,0,1,0,0
五峰鄉,大專,公教,60~69,5,4,1,4,1,7,6,1,3,2,1,1,11,2,1,1,1,2,7,1,1,0,0,1,0,0,0,0,1,1,6,1,0,2,1,0,1,0,0,0,0,1,0,0,2,2
五峰鄉,大專,農,60~69,4,7,0,2,1,1,7,0,0,0,0,0,5,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
尖石前山,國中,家管,60~69,0,1,0,0,1,2,3,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
尖石前山,國中,家管,70~79,2,10,3,3,2,3,18,1,1,2,2,1,7,9,2,1,7,0,6,0,2,0,1,0,1,1,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,2,1,1,0,0
尖石前山,大專,公教,40~49,0,1,1,0,0,2,5,0,0,1,1,0,2,3,0,0,2,1,3,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
尖石前山,大專,公教,50~59,1,2,0,1,0,0,3,0,0,1,0,2,3,3,3,0,0,0,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,3,0,1,0,1
尖石前山,高中,家管,40~49,0,2,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2,0,0,0,0,0
尖石前山,高中,家管,50~59,1,3,1,0,1,0,3,2,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
尖石後山,國中,農,40~49,2,7,0,0,2,4,2,1,1,1,0,0,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1
尖石後山,國中,農,50~59,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
尖石後山,大專,公教,50~59,4,0,0,2,0,0,0,0,1,0,0,0,1,1,2,1,0,0,3,0,1,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
尖石後山,大專,工,40~49,0,2,0,1,1,1,2,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,2,2,1,2,0,0
尖石後山,高中,工,30~39,0,1,0,0,0,0,2,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
尖石後山,高中,農,40~49,1,1,0,3,2,2,6,2,1,1,0,2,4,1,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0
尖石後山,高中,農,50~59,7,15,2,5,6,3,15,3,4,11,2,6,10,15,2,0,10,3,5,4,6,2,0,2,4,1,1,0,1,1,6,2,0,15,3,2,1,1,1,1,2,1,1,2,0,0
