區域,學歷,從業,年齡區間,V(不及動詞),VE(不及動詞+延伸受事),VES(不及動+延伸受事+主詞),VS(不及動詞+主詞),VP(及物動詞+受事者),AV(主詞+及物動),NEG V(否定+不及物動詞),NEG VP(否定+及物動+受詞),NEG AV(否定+主+及物動詞),SV(主詞+不及物動詞)
五峰鄉,國中,工,60~69,5,6,1,9,2,1,0,0,0,0
五峰鄉,國中,農,60~69,5,4,0,6,1,2,0,0,1,0
五峰鄉,國中,農,70~79,2,2,6,9,2,2,1,0,1,0
五峰鄉,大專,公教,50~59,3,7,2,12,5,3,2,2,2,0
五峰鄉,大專,公教,60~69,15,19,2,18,12,9,2,0,1,4
五峰鄉,大專,農,60~69,14,8,0,10,2,0,0,1,3,0
尖石前山,國中,家管,60~69,2,8,0,3,1,2,1,0,0,0
尖石前山,國中,家管,70~79,20,25,3,26,12,8,0,1,4,0
尖石前山,大專,公教,40~49,2,8,1,8,9,1,0,1,2,1
尖石前山,大專,公教,50~59,4,4,2,9,11,3,1,1,4,1
尖石前山,高中,家管,40~49,2,2,3,2,4,1,4,3,0,0
尖石前山,高中,家管,50~59,6,5,0,5,4,2,0,0,0,1
尖石後山,國中,農,40~49,11,9,0,7,2,3,1,0,2,1
尖石後山,國中,農,50~59,3,4,0,0,0,2,0,0,0,0
尖石後山,大專,公教,50~59,6,1,0,5,8,2,0,0,3,0
尖石後山,大專,工,40~49,4,3,0,7,2,2,4,3,5,0
尖石後山,高中,工,30~39,1,3,1,4,2,0,0,1,0,1
尖石後山,高中,農,40~49,7,12,2,9,3,3,0,1,2,0
尖石後山,高中,農,50~59,35,36,8,40,27,23,7,4,4,0
